year,supervision,nsw,vic,qld,wa,sa,tas,act,nt,australia
2020-21,First year of supervision,630,382,684,309,147,61,38,87,2338
2020-21,Previously supervised,1390,1073,1902,846,297,155,79,247,5989
2020-21,Total,2020,1455,2586,1155,444,216,117,334,8327
2021-22,First year of supervision,517,344,622,444,163,51,35,129,2305
2021-22,Previously supervised,1349,944,1870,757,280,129,81,269,5679
2021-22,Total,1866,1288,2492,1201,443,180,116,398,7984
2022-23,First year of supervision,547,364,702,493,238,60,51,172,2627
2022-23,Previously supervised,1199,738,1766,800,302,124,73,362,5364
2022-23,Total,1746,1102,2468,1293,540,184,124,534,7991
2023-24,First year of supervision,539,310,705,426,171,77,57,248,2533
2023-24,Previously supervised,1173,628,1767,850,389,129,95,500,5531
2023-24,Total,1712,938,2472,1276,560,206,152,748,8064
2024-25,First year of supervision,524,435,716,381,197,93,43,245,2634
2024-25,Previously supervised,1217,564,1740,796,325,164,111,750,5667
2024-25,Total,1741,999,2456,1177,522,257,154,995,8301
