metric,sector,year,value
External reviews received,Government Departments,2021-22,277
External reviews received,Local Government,2021-22,25
External reviews received,Other Authorities,2021-22,69
External reviews received,Minister,2021-22,7
External reviews received,Total,2021-22,378
External reviews received,Government Departments,2022-23,202
External reviews received,Local Government,2022-23,28
External reviews received,Other Authorities,2022-23,48
External reviews received,Minister,2022-23,44
External reviews received,Total,2022-23,322
External reviews received,Government Departments,2023-24,179
External reviews received,Local Government,2023-24,27
External reviews received,Other Authorities,2023-24,58
External reviews received,Minister,2023-24,34
External reviews received,Total,2023-24,298
External reviews received,Government Departments,2024-25,104
External reviews received,Local Government,2024-25,14
External reviews received,Other Authorities,2024-25,46
External reviews received,Minister,2024-25,11
External reviews received,Total,2024-25,175
External reviews completed,Government Departments,2021-22,293
External reviews completed,Local Government,2021-22,35
External reviews completed,Other Authorities,2021-22,85
External reviews completed,Minister,2021-22,10
External reviews completed,Total,2021-22,423
External reviews completed,Government Departments,2022-23,179
External reviews completed,Local Government,2022-23,22
External reviews completed,Other Authorities,2022-23,47
External reviews completed,Minister,2022-23,39
External reviews completed,Total,2022-23,287
External reviews completed,Government Departments,2023-24,195
External reviews completed,Local Government,2023-24,25
External reviews completed,Other Authorities,2023-24,55
External reviews completed,Minister,2023-24,33
External reviews completed,Total,2023-24,308
External reviews completed,Government Departments,2024-25,93
External reviews completed,Local Government,2024-25,20
External reviews completed,Other Authorities,2024-25,46
External reviews completed,Minister,2024-25,16
External reviews completed,Total,2024-25,175
