Executive employment last seven years,,,,,,,
,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13
South Australian Executive Service 1**,48,53,51,50,46,54,52
South Australian Executive Service 2**,16,18,23,24,26,24,27
Chief Executive,1,1,1,1,1,1,1
Director of Public Prosecutions,^,1,1,1,1,1,1
Police Ombudsman,***,***,1,1,1,1,1
Ombudsman,^,1,1,1,1,1,1
Solicitor General,^,1,1,*,1,1,1
Commissioner for Victim’s Rights,^,1,1,1,1,1,1
Equal Opportunity Commissioner,^,1,1,1,1,1,1
Public Advocate,^,1,1,1,1,1,1
President of the Residency Tenancy Tribunal,#,#,#,#,#,1,*
Statutory Appointments,6,,,,,,
Total,71,78,82,81,80,87,87
,,,,,,,
Notes,,,,,,,
Includes some statutory officers,,,,,,,
* Positions not filled as at June 30th in that year.,,,,,,,
"# The South Australian Civil and Administrative Tribunal commenced operations on 30 March 2015 taking on board the work of these  former bodies, Guardianship Board, Residential Tenancies Tribunal and the Housing Appeal Panel. ",,,,,,,
**Includes legal staff from the Crown Solicitor’s Office and the Office of the Director of Public Prosecutions and staff from the Office of the Parliamentary Counsel,,,,,,,
Data sourced from AGD Human Resources,,,,,,,
*** Functions of the Office of the Police Ombudsman transferred to the Office of Public Integrity during 2017-18,,,,,,,
^ Positions previously reported have been amalgamated into 'Statutory Appointments' ,,,,,,,
