FinYear,FinYearTotal,Act,ActTotal,Application,TypeTotal,Total
21-22,4951,Administration (existing orders),546,Recommendation of disallowance of item of expenditure by the Public Trustee,1,1
21-22,4951,Administration (existing orders),546,"Request for advice, direction or approval (Administration)",52,52
21-22,4951,Administration (existing orders),546,Request for approval to pay above the prescribed limit for accommodation,3,3
21-22,4951,Administration (existing orders),546,Request for extension of Administration Order on death,5,5
21-22,4951,Administration (existing orders),546,Request for purchase of real estate,23,23
21-22,4951,Administration (existing orders),546,Request for remuneration of an Administrator,3,3
21-22,4951,Administration (existing orders),546,Request for sale of real estate,156,156
21-22,4951,Administration (existing orders),546,Request for variation or revocation of Administration Order,299,299
21-22,4951,Administration (existing orders),546,Request to lease out property over two years,1,1
21-22,4951,Administration (existing orders),546,Request to pay maintenance to child or grandchild above the prescribed limit,2,2
21-22,4951,Administration (existing orders),546,Request to take on lease (excluding accommodation of person),1,1
21-22,4951,Advance Care Directives,162,Revoke an Advance Care Directive,85,85
21-22,4951,Advance Care Directives,162,Revoke appointment of substitute decision maker,43,43
21-22,4951,Advance Care Directives,162,Seek a declaration or direction,28,28
21-22,4951,Advance Care Directives,162,Vary or revoke a declaration or direction,6,6
21-22,4951,Advance Care Directives Review,4,Review a matter dealt with by the Public Advocate,4,4
21-22,4951,Consent to Medical Treatment & Palliative Care,15,Consent to medical treatment or dental treatment,12,12
21-22,4951,Consent to Medical Treatment & Palliative Care,15,Seek a declaration or direction,2,2
21-22,4951,Consent to Medical Treatment & Palliative Care,15,Vary or revoke a declaration or direction,1,1
21-22,4951,Guardianship (existing orders),879,Request for variation or revocation of Guardianship Order,372,372
21-22,4951,Guardianship (existing orders),879,Request for variation or revocation of Special Powers,114,114
21-22,4951,Guardianship (existing orders),879,Special Powers (Residence and/or Detention and/or Treatment),393,393
21-22,4951,Guardianship and Administration,1906,Administration and/or Guardianship Order with/without Special Powers,1799,1799
21-22,4951,Guardianship and Administration,1906,"Request for advice, direction or approval",107,107
21-22,4951,Mental Health,1211,Consent for Electro-Convulsive Therapy,73,73
21-22,4951,Mental Health,1211,Consent for Psychiatric Neurosurgery,2,2
21-22,4951,Mental Health,1211,Level 2 Community Treatment Order,958,958
21-22,4951,Mental Health,1211,Level 3 Inpatient Treatment Order,76,76
21-22,4951,Mental Health,1211,Vary or revoke a Level 2 Community Treatment Order,19,19
21-22,4951,Mental Health,1211,Vary or revoke a Level 3 Inpatient treatment Order,83,83
21-22,4951,Mental Health Review,210,Review of a Level 1 Community Treatment Order ,11,11
21-22,4951,Mental Health Review,210,Review of a Level 1 Inpatient Treatment Order,9,9
21-22,4951,Mental Health Review,210,Review of a Level 2 Inpatient Treatment Order,164,164
21-22,4951,Mental Health Review,210,Review of an interstate transfer,1,1
21-22,4951,Mental Health Review,210,Review of s79 Mental Health Order  ,25,25
21-22,4951,Prescribed medical treatment,2,Request for sterilisation,1,1
21-22,4951,Prescribed medical treatment,2,Request for termination of pregnancy,1,1
21-22,4951,Protection Order,16,Advice from District Court regarding protection orders,16,16

